rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
623,CNP0321998.1,CCC1=CN=C(N)C=C1[C@H](C[C@H](O)[C@H](O)C[C@H]1C#C[C@]2(CC[C@H](CC3([C@@H]4CN[C@@H]5CC(=O)CC[C@@H]5C4)CCCC3)C[C@H]2O)C(=O)CCC2=CC(OC)=C(O)C=C21)C1=CC=C2C=CC=CC2=C1,0.8926824927330017,896.18,8.48,6,10,12,175.23,False,False,4
624,CNP0096416.1,CCCCC[C@@H]1C(=O)C[C@H](C2=CC(OC)=C(O)C=C2CO)[C@@H](CC2=CC=CC=C2)C#C[C@H]2CN[C@@H]3C[C@@H]4C=C[C@H](CCO)C5=C[C@@H]6CCC[C@]67C[C@@]54[C@@H]4C[C@H]7C5=CC(O)=C(O)C=C5[C@]34[C@@H]2[C@H]1O,0.8926099538803101,908.19,8.73,7,9,11,159.71,False,False,3
625,CNP0573926.1,O=C(O)[C@@H]1CC/C(=C\O)[C@H](C2CCCCC2)CCCNC2=CC=C(C=N2)C2=CC(=CC=C2)C2CC#CC[C@@]34CC=C[C@@]56C=C7C2=C2C=CC=CC2=C[C@H]7C(CC[C@@H]3O)(C2=C(C5)[C@]35[C@@H]7CCC[C@]38[C@@H](CC[C@]53CC[C@@]5(CC[C@H](CC9=CC=CC=C9)C5)[C@H]3C=C[C@@]18[C@@H]7O)C2)C64,0.8925582766532898,1237.72,16.49,5,6,4,122.91,False,True,4
626,CNP0489343.1,C=C1CC[C@@H](C(=O)O)[C@H]2[C@H](O)CC34C5=C(C[C@H](CC[C@]36CC[C@@H](CC3=CC=CC=C3)CC6)[C@]24C)C23CC[C@H](O)[C@@]4(C)CC=C(CC(C)C)[C@@](C=C6C(=C7C=CC=CC7=C[C@@H]62)CC2=CC(=CC=C2)C2=CC=C(N=C2)NCCC[C@H]1C1CCCCC1)(C5)[C@H]34,0.8925096392631531,1151.67,16.36,4,5,6,102.68,False,True,4
627,CNP0578868.1,C/C=C(\NC(=O)CNC(=O)[C@@](C)(O)[C@@H](O)/C=C\C(C)=C\[C@H](C)CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]1/C(O)=N/[C@H](COC)/C(O)=N/C/C(O)=N/[C@@H](C)C(=O)N(C)[C@@H]([C@@H](C)O)/C(O)=N/[C@H]([C@H](OC)C2=CC=C(O)C=C2)C(=O)N2CC[C@H](Cl)C[C@H]2C(=O)O[C@@H]1C(C)C)[C@@H](C)[C@@H](C)C(N)=O)[C@H](C)N,0.8924385905265808,1433.07,0.42,15,21,26,511.27,False,False,1
628,CNP0586621.1,CC[C@H]1C#C[C@H]2C=C[C@H](C3=CC=C(O)C(O[C@@H]4[C@@H](O)[C@@H](O)C=C[C@H]4[C@H](CC4=CC=CN4)C4=CC=NC(N)=C4)=C3)C[C@@H](O)[C@H]2[C@@H](O)CC[C@H](NC[C@H](C)O)C1,0.8924204707145691,740.94,3.93,9,10,11,197.34,False,False,3
629,CNP0088984.1,CNC[C@@H]1C#C[C@@H]2CC[C@@H]3O[C@@H](CC[C@@H]3C2)[C@H](O)[C@@](C)(O)CNC2=CC(=CC([C@H]3C#C[C@@H]4CC(=O)OC5=C4C=C(C[C@H]4OC(=O)/C(=C\[C@H](O)CC6=CC(=CC=C6)C[C@H]6C(=O)CC[C@@H]7[C@H]6C[C@@H]6CCCC[C@@H]6C74O)C3)C(O)=C5C3CCCCC3)=C2)[C@H]1O,0.892403781414032,1173.5,9.09,8,14,4,224.34,False,False,3
630,CNP0088275.1,CNCO[C@]12CC3=C4C[C@@H]5C6=C(C=C(CNCCCC7=CC=CC=C7)[C@H]5C5=CC=C7NC=CC7=C5)C(O)=CC=C6C4=C4O[C@@H](CO)CCC4=C3O[C@@H]1C1=CC(=C(O)C(C[C@H]3C=C[C@H](CO)C4=CC=CC=C43)=C1)O[C@@H](CO)CC#C[C@H]2NCNC[C@@](C)(O)CC(C)C,0.8923993110656738,1230.56,10.0,11,14,22,222.21,False,False,7
631,CNP0097427.1,C[C@H]1C[C@]23C[C@@H]4C5(CCCC5)[C@@H](CO)CO[C@@]45C=C[C@@H]4[C@H]6CC#CC7=C8C=C(OC9CCCC9)C(O)=C7[C@@H]2[C@@H]5[C@@]4(CO)C=C3[C@](C=C[C@@H]2C[C@@H]3C[C@@]4(CO)C=CCC[C@H]4C(CO)=C3C(=O)C[C@@H]82)(C1)C1=CC(=CC(O)=C1)CC1=CC(=CC=C1)C1(CCCCC1)N/C(N)=N/6,0.8923242092132568,1242.65,12.21,8,12,6,207.32,False,False,3
632,CNP0223692.0,CCCCNC(=O)C(C)CC(O)C(N)CC(CC1=CC=C(OCCCCN(C)C)C(OCCCOC)=C1)C(C)C,0.8922612071037292,565.84,4.66,3,7,23,106.28,True,False,1
633,CNP0533303.1,CCCCC[C@@H]1C=C[C@@H](CCCCC[C@H](C(=O)O)[C@H](O)C[C@@H](CNC)[C@]2(O)C[C@H](CC3=CC=NC(N)=C3)C[C@H]2CC2=NC(C3=CC(O)=CC(O)=C3)=C(C3=CC=CC=C3)C2)[C@H](O)C1,0.892225980758667,851.14,8.55,8,10,23,201.75,False,False,3
634,CNP0539938.1,CCCCCOC1=CC=C(C2=CC(C3=CC=C(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)/N=C(\O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)/N=C(\O)[C@H]([C@H](O)[C@@H](O)C5=CC=C(O)C(OS(=O)(=O)O)=C5)/N=C(\O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)/N=C\4O)C=C3)=NO2)C=C1,0.8921924829483032,1270.29,-0.54,16,23,18,524.1,False,False,4
635,CNP0555955.2,CCCCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[P@@](=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO[C@H]2O[C@H](CO[P@@](=O)([O-])OCC[N+](C)(C)C)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1N)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,0.8919605612754822,1414.69,4.01,15,25,55,449.15,False,False,0
636,CNP0555955.1,CCCCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO[C@H]2O[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1N)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,0.8919605612754822,1414.69,4.01,15,25,55,449.15,False,False,0
