rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
110,CNP0121841.0,CCC(C)(NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(C)(CC)NC(=O)C(C)(C)NC(=O)C(CO)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(CO)CC1=CNC2=CC=CC=C12,0.9674834609031676,1926.29,-3.61,23,23,52,686.54,False,False,3
111,CNP0357362.0,CCC(C)(NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(CO)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)NC(CO)CC1=CNC2=CC=CC=C12,0.9674834609031676,1912.27,-4.0,23,23,51,686.54,False,False,3
112,CNP0355649.1,COC1=CC(O[C@H]2O[C@H](COCC3=CNC4=CC=CC=C34)[C@@H](O)[C@H](O)[C@H]2O)=C2C(O)=C(C(C)=O)C(C3CCCC3)=CC2=C1,0.9674683213233948,591.66,4.3,5,9,9,150.7,True,False,4
113,CNP0325842.1,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0.9674499034881592,726.9,1.05,7,13,5,196.99,False,False,0
114,CNP0424133.2,CO[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H](O[C@H]4[C@H](O[C@H]5CC[C@]6(C)C7=CC[C@]8(C)[C@@H](C(C)=O)CC[C@@]8(C)[C@@H]7CC[C@H]6C5(C)C)OC[C@@H](OS(=O)(=O)[O-])[C@@H]4O)O[C@@H]3C)O[C@H](COS(=O)(=O)[O-])[C@H]2O)O[C@H](CO)[C@H]1O.[Na+].[Na+],0.9671982526779176,1311.34,-9.4,10,30,18,453.76,False,False,0
115,CNP0155315.1,C[C@H]1CO[C@]2(C[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O[C@H]1C[C@H]3[C@@H]4C[C@@H](O)[C@@]5(O)C[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0.9669727087020874,967.07,-4.71,14,22,9,357.06,False,False,0
116,CNP0018725.1,CC(C)CC(=O)C[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O[C@@H]5OC[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H]4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)C3=C[C@H](O)[C@@]21C,0.9668492078781128,1261.39,-3.71,15,28,18,456.19,False,False,0
117,CNP0578476.1,CN1C=C(C2=CC=C3OC[C@@H]4CN(C(=O)C5=CN=CC=N5)CCN4CC(=O)NC3=C2)C=N1,0.9663966298103333,433.47,1.03,1,8,2,105.48,True,True,3
118,CNP0286118.1,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@H]5[C@@H]6C[C@@H]7O[C@]8(CC[C@@H](CO)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.9659455418586732,738.91,1.36,7,13,6,196.99,False,False,0
119,CNP0286118.2,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)C(=CC[C@H]5[C@H]6C[C@@H]7O[C@]8(CC[C@@H](CO)CO8)[C@@H](C)[C@@H]7[C@@]6(C)CC[C@@H]54)C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.9659455418586732,738.91,1.36,7,13,6,196.99,False,False,0
