rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
861,CNP0552873.1,CCCCCC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)C(C)C,0.9426767826080322,362.47,2.52,3,3,11,95.5,True,False,1
862,CNP0510979.1,CCCCCCCC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)C(C)C,0.9426767826080322,390.52,3.3,3,3,13,95.5,True,False,1
863,CNP0192274.1,CC(C)CCCCCC(=O)N[C@H]1CCCCNC1=O,0.94267600774765,268.4,2.38,2,2,7,58.2,True,True,0
864,CNP0269686.0,CCC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1CCCN1C(=O)C(CS)NC(=O)C(CS)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)O,0.9426644444465636,1440.81,-0.06,20,18,38,443.45,False,False,5
865,CNP0229735.0,CC(C)NC1=NC(Cl)=NC(Cl)=N1,0.9426109790802002,207.06,2.0,1,4,2,50.7,True,True,1
866,CNP0025815.0,ClC1=NC(N2CCCCC2)=NC(N2CCCCC2)=N1,0.9425848126411438,281.79,2.51,0,5,2,45.15,True,True,1
867,CNP0431987.1,CCCCCC[C@]1(CC)C[C@H](CC)[C@H](CC(=O)OC)OO1,0.9425216913223268,300.44,4.42,0,4,9,44.76,True,True,0
868,CNP0431508.1,CCCCC[C@]1(CC)C[C@H](CC)[C@H](CC(=O)OC)OO1,0.9425216913223268,286.41,4.03,0,4,8,44.76,True,True,0
869,CNP0166614.1,CO[C@H]1O[C@@H]2COB(C3=CC=CC=C3)O[C@H]2[C@H](O)[C@H]1O,0.9424018263816832,280.09,-1.11,2,6,2,77.38,True,True,1
870,CNP0178079.0,CC1=CC(C)=C2C=CC3=CC=CC=C3C2=N1,0.9423285722732544,207.28,4.0,0,1,0,12.89,True,True,3
871,CNP0528081.1,N#C[C@@H]1N2CCC[C@H]3[C@@H]4CCCCN4[C@@H]4CC[C@H]5CCC[C@]1(O)[C@@H]5N4[C@@H]32,0.9421949982643129,356.51,2.12,1,5,0,53.74,True,True,0
872,CNP0541424.0,COC1=CC2C(C=C1O)CC=C1C=C3CC(OC)=C(OC)CC3=CN12,0.9421929121017456,341.41,3.67,1,5,3,51.16,True,True,0
873,CNP0491675.1,C=C1CC[C@]2(C)[C@@H](C)CCC[C@]2(C)[C@H]1CC/C(C)=C/CN1C=[N+](C)C2=NC=NC(N)=C21,0.942158579826355,422.64,5.36,1,4,5,60.61,True,True,2
874,CNP0562129.1,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0.942143440246582,1086.48,2.17,14,12,45,380.96,False,False,1
875,CNP0544454.1,CCCCCCCCCC(O)CCC1/N=C(/O)[C@H]([C@@H](C)O)/N=C(\O)[C@@H]([C@@H](C)O)/N=C(\O)C(CC(O)C(N)=O)/N=C(\O)[C@@H](C)/N=C(\O)[C@H](CC(N)=O)/N=C(\O)[C@@H](CC(N)=O)/N=C(\O)C(CCCCCCCC(=O)CCCCCC)/N=C(\O)CC/N=C(/O)C/N=C/1O,0.9421411156654358,1282.55,5.22,17,18,33,553.16,False,False,0
876,CNP0506673.1,C[C@H](CNC(=O)C1=CC=C(S(N)(=O)=O)C=C1)CN1C=CC2=CC=CC=C21,0.942040205001831,371.46,2.35,2,4,6,94.19,True,True,3
