rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
933,CNP0584663.1,NC1=NC(=O)C2=NC=[N+](C3=CC=CC=C3[C@H]3/C(CCO)=C/OC[C@@H]4O[C@H](OC5=C3C=C3C(=O)C6=CC=C(CO)C=C6C(=O)C3=C5OC[C@H](O)CC=O)[C@](O)(CCO)[C@H](O)[C@H]4O)C2=N1,0.943867027759552,868.83,-0.97,8,18,12,312.92,False,False,3
934,CNP0575061.1,COC1=C(CO)C(=O)O/C1=C1/OC2=CCCN3[C@H]([C@@H](O)[C@H]4C=CC[C@H](C5CCCC5)C4)[C@H]4[C@H](C[C@H]3[C@H]2[C@@H]1CO)[C@H](C1=CC=CC=C1)[C@@]12CC[C@]3(C1)[C@H](CC1=CC=CC=C1)C1(CCCC1)C[C@@]31CCC[C@H]1C#CC[C@@H]42,0.9438391327857972,1000.37,11.59,3,8,9,108.69,False,True,2
935,CNP0584068.1,NC1=CC2=C3CO[C@@H](CCC[C@@H](CCC4=CC=C(O)C(CC5=CC=CC(O)=C5)=C4)C#C2)C[C@H](O)CCC2=C(CO)C=C(O)C(=C2)OCC2=CC([C@]45CCOC6(CCCCC6)[C@@H]4CCC4=CC=CC=C45)=CC4=CN(C=C24)C3=N1,0.9438368082046508,1034.31,11.73,6,11,7,172.68,False,False,7
936,CNP0105620.1,COCC(=O)N[C@@H](C(=O)N1N=CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](C)C(=O)N[C@@H]1CNC(=O)NC1=O)[C@H](O)C(C)C,0.9438231587409972,645.71,-1.84,7,10,14,227.86,False,False,1
937,CNP0574058.1,C/C=C(\CCO)C(=O)O[C@]1(C)[C@H](CO)C=C2CSS[C@H]3C[C@@H]4C(=O)C=C[C@H]5[C@@H]([C@@H]4NC)[C@@H]3N5C(=O)CC3=CN=C(N)C=C3[C@@H]2[C@]12CC1=CC3=C(C=C1O2)OC(=O)C([C@@]12CCCC[C@@H]1CC[C@H](O)[C@H]2CC[C@H](O)[C@H]1C=CC[C@H](C)C1)=C3,0.9437913298606871,1131.47,7.6,6,16,11,234.98,False,False,3
938,CNP0213764.1,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C)OC2=CC=C(/C=C\NC1=O)C=C2,0.9437044858932496,518.66,2.84,2,5,6,90.98,True,True,2
939,CNP0213764.5,CC[C@@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C)OC2=CC=C(/C=C\NC1=O)C=C2,0.9437044858932496,518.66,2.84,2,5,6,90.98,True,True,2
940,CNP0213764.4,CCC(C)[C@@H]1NC(=O)C2[C@H](CCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C)OC2=CC=C(C=CNC1=O)C=C2,0.9437044858932496,518.66,2.84,2,5,6,90.98,True,True,2
941,CNP0213764.2,CCC(C)[C@@H]1NC(=O)C2[C@H](CCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C)OC2=CC=C(/C=C\NC1=O)C=C2,0.9437044858932496,518.66,2.84,2,5,6,90.98,True,True,2
942,CNP0213764.3,CC[C@H](C)[C@@H]1NC(=O)[C@H]2[C@@H](CCN2C(=O)[C@H](CC2=CC=CC=C2)N(C)C)OC2=CC=C(/C=C\NC1=O)C=C2,0.9437044858932496,518.66,2.84,2,5,6,90.98,True,True,2
943,CNP0182646.1,C/C=C1/NC(=O)[C@@H]2CC3=CC=C(O)C(=C3)C3=C(C[C@H](NC(=O)[C@@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](O)CC(N)=O)NC1=O)C(=O)N[C@@H](C)[C@H](NC(=O)/C(=C\C)NC(=O)[C@@H](O)[C@@H](/C=C/C=C/CCCCCCCC)O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O)C(=O)N[C@H]([C@@H](C)O)C(=O)N2)NC=N3,0.9436362981796264,1379.49,-5.61,20,22,23,565.93,False,False,2
